1,5.68,5.68
10,1.6,1.6
20,.8,-.8
25,1.76,-1.76
30,2.40,-2.40
35,3.04,-3.04
40,3.52,-3.52
45,4.00,-4.00
50,4.40,-4.40
55,4.64,-4.64
3,4.32,4.32
5,3.36,3.36
12,.88,.88
6,2.96,2.96
